"name","label","description","legal_basis"
05.04,"Rural development","",""
05.05,"Pre-accession measures in the field of agriculture and rural development","",""
05.06,"International aspects of Agriculture and rural development policy area","",""
05.07,"Audit of agricultural expenditure","",""
05.08,"Policy strategy and coordination of Agriculture and rural development policy area","",""
06.01,"Administrative expenditure of Energy and transport policy area","",""
06.02,"Inland, air and maritime transport","",""
06.03,"Trans-European networks","",""
06.04,"Conventional and renewable energies","",""
06.05,"Nuclear energy","",""
06.06,"Research related to energy and transport","",""
06.07,"Security and protection of energy and transport users","",""
06.08,"EU satellite navigation programmes (EGNOS and Galileo)","",""
07.01,"Administrative expenditure of Environment policy area","",""
07.02,"Global environmental affairs","",""
07.03,"Implementation of Union environmental policy and legislation","",""
07.04,"Civil protection","",""
07.05,"New Policy initiatives based on the Community environment action programme","",""
08.01,"Administrative expenditure of Research policy area","",""
08.02,"Cooperation - Health","",""
08.03,"Cooperation - Food, agriculture and fisheries, and biotechnology","",""
08.04,"Cooperation - Nanosciences, nanotechnologies, materials and new production technologies","",""
08.05,"Cooperation - Energy","",""
08.06,"Cooperation - Environment (including climate change)","",""
08.07,"Cooperation - Transport (including aeronautics)","",""
08.08,"Cooperation - Socioeconomic sciences and the humanities","",""
08.09,"Cooperation - Risk-sharing finance facility (EIB)","",""
08.10,"Ideas","",""
08.11,"People","",""
08.12,"Capacities - Research infrastructures","",""
08.13,"Capacities - Research for the benefit of small and medium-sized enterprises (SMEs)","",""
08.14,"Capacities - Regions of knowledge","",""
08.15,"Capacities - Research potential","",""
08.16,"Capacities - Science in society","",""
08.17,"Capacities - International cooperation activities","",""
08.18,"Capacities - Risk-sharing finance facility (EIB)","",""
08.19,"Capacities - Support for coherent development of research policies","",""
08.20,"Euratom - Fusion energy","",""
08.21,"Euratom - Nuclear fission and radiation protection","",""
08.22,"Completion of previous framework programmes and other activities","",""
08.23,"Research programme of the research fund for coal and steel","",""
09.01,"Administrative expenditure of Information society and media policy area","",""
09.02,"i2010 - Electronic communications policy and network security","",""
09.03,"i2010 - ICT Take-up","",""
09.04,"i2010 - Cooperation - Information and communication technologies (ICTs)","",""
09.05,"Capacities - Research infrastructures","",""
09.06,"i2010 - Audiovisual policy and Media programme","",""
10.01,"Administrative expenditure of Direct research policy area","",""
10.02,"Directly financed research operational appropriations - Seventh framework programme (2007 to 2013) - EC","",""
10.03,"Directly financed research operational appropriations - Seventh framework programme (2007 to 2011) - Euratom","",""
10.04,"Completion of previous framework programmes and other activities","",""
10.05,"Historical liabilities resulting from nuclear activities carried out by the Joint Research Centre pursuant to the Euratom Treaty","",""
11.01,"Administrative expenditure of Maritime affairs and fisheries policy area","",""
11.02,"Fisheries markets","",""
11.03,"International fisheries and law of the sea","",""
11.04,"Governance of the common fisheries policy","",""
11.06,"European Fisheries Fund (EFF)","",""
11.07,"Conservation, management and exploitation of living aquatic resources","",""
11.08,"Control and enforcement of the common fisheries policy","",""
11.09,"Maritime policy","",""
12.01,"Administrative expenditure of Internal market policy area","",""
12.02,"Policy strategy and coordination for the Directorate-General for the Internal Market","",""
12.03,"Internal market for services","",""
13.01,"Administrative expenditure of Regional policy policy area","",""
13.03,"European Regional Development Fund and other regional operations","",""
13.04,"Cohesion Fund","",""
13.05,"Pre-accession operations related to the structural policies","",""
13.06,"Solidarity Fund","",""
14.01,"Administrative expenditure of Taxation and customs union policy area","",""
14.02,"Policy strategy and coordination for Taxation and Customs Union Directorate-General","",""
14.03,"International aspects of taxation and customs","",""
14.04,"Customs policy","",""
14.05,"Taxation policy","",""
15.01,"Administrative expenditure of Education and culture policy area","",""
15.02,"Lifelong learning, including multilingualism","",""
15.04,"Developing cultural cooperation in Europe","",""
15.05,"Encouraging and promoting cooperation in the field of youth and sports","",""
15.06,"Fostering European Citizenship","",""
16.01,"Administrative expenditure of Communication policy area","",""
16.02,"Communication and the media","",""
16.03,"Going Local communication","",""
16.04,"Analysis and communication tools","",""
17.01,"Administrative expenditure of Health and consumer protection policy area","",""
17.02,"Consumer policy","",""
17.03,"Public health","",""
17.04,"Food and feed safety, animal health, animal welfare and plant health","",""
18.01,"Administrative expenditure of Area of freedom, security and justice policy area","",""
18.02,"Solidarity - External borders, return, visa policy and free movement of people","",""
18.03,"Migration flows - Common immigration and asylum policies","",""
18.04,"Fundamental rights and citizenship","",""
18.05,"Security and safeguarding liberties","",""
18.06,"Justice in criminal and civil matters","",""
18.07,"Drugs prevention and information","",""
18.08,"Policy strategy and coordination","",""
19.01,"Administrative expenditure of External relations policy area","",""
19.02,"Cooperation with third countries in the area of migration and asylum","",""
19.03,"Common foreign and security policy (CFSP)","",""
19.04,"European Instrument for Democracy and Human Rights (EIDHR)","",""
19.05,"Relations and cooperation with industrialised non-member countries","",""
19.06,"Crisis response and global threats to security","",""
19.08,"European Neighbourhood Policy and relations with Russia","",""
19.09,"Relations with Latin America","",""
19.10,"Relations with Asia, Central Asia and Middle East (Iraq, Iran, Yemen)","",""
19.11,"Policy strategy and coordination for External relations policy area","",""
19.49,"Expenditure on administrative management of programmes committed in accordance with the former Financial Regulation","",""
20.01,"Administrative expenditure of Trade policy area","",""
20.02,"Trade policy","",""
21.01,"Administrative expenditure of Development and relations with ACP States policy area","",""
21.02,"Food security","",""
21.03,"Non-State actors in development","",""
21.04,"Environment and sustainable management of natural resources, including energy","",""
21.05,"Human and social development","",""
21.06,"Geographical cooperation with African, Caribbean and Pacific (ACP) States","",""
21.07,"Development cooperation actions and ad-hoc programmes","",""
21.08,"Policy strategy and coordination for Development and relations with ACP States policy area","",""
21.49,"Expenditure on administrative management of programmes committed in accordance with the former Financial Regulation","",""
22.01,"Administrative expenditure of Enlargement policy area","",""
22.02,"Enlargement process and strategy","",""
22.03,"Post-accession financial support","",""
22.04,"Information and communication strategy","",""
22.49,"Expenditure on administrative management of programmes committed in accordance with the former Financial Regulation","",""
23.01,"Administrative expenditure of Humanitarian aid policy area","",""
23.02,"Humanitarian aid including aid to uprooted people, food aid and disaster preparedness","",""
24.01,"Administrative expenditure of Fight against fraud policy area","",""
24.02,"Fight against fraud","",""
25.01,"Administrative expenditure of Commission’s policy coordination and legal advice policy area","",""
25.02,"Relations with civil society, openness and information","",""
26.01,"Administrative expenditure of Commission’s administration policy area","",""
26.02,"Multimedia production","",""
26.03,"Services to public administrations, businesses and citizens","",""
27.01,"Administrative expenditure of Budget policy area","",""
27.02,"Budget implementation, control and discharge","",""
28.01,"Administrative expenditure of Audit policy area","",""
29.01,"Administrative expenditure of Statistics policy area","",""
29.02,"Production of statistical information","",""
30.01,"Administrative expenditure of Pensions and related expenditure policy area","",""
31.01,"Administrative expenditure of Language services policy area","",""
40.01,"Reserves for administrative expenditure","",""
40.02,"Reserves for financial interventions","",""
"0A","II 4 0 - DEDUCTIONS FROM REMUNERATION","",""
"0A","II 4 1 - STAFF CONTRIBUTIONS TO THE PENSION SCHEME","",""
"0A","II 6 6 - OTHER CONTRIBUTIONS AND REFUNDS","",""
"A2.01","ADMINISTRATIVE EXPENDITURE","",""
"A2.02","SPECIFIC ACTIVITIES","",""
"A2.10","RESERVES","",""
"0A","III 4 0 - DEDUCTIONS FROM REMUNERATION","",""
"0A","III 4 1 - CONTRIBUTION TO THE PENSION SCHEME","",""
"0A","III 6 6 - OTHER CONTRIBUTIONS AND REFUNDS","",""
"A3.01","ADMINISTRATIVE EXPENDITURE","",""
"A3.02","FINANCING ANTI-FRAUD MEASURES","",""
"A3.03","EXPENDITURE RESULTING FROM THE MANDATE OF THE MEMBERS OF THE SUPERVISORY COMMITTEE","",""
"A3.10","RESERVES","",""
"0A","IV 4 0 - DEDUCTIONS FROM REMUNERATION","",""
"0A","IV 4 1 - CONTRIBUTIONS TO THE PENSION SCHEME","",""
"0A","IV 6 6 - OTHER CONTRIBUTIONS AND REFUNDS","",""
"A4.01","ADMINISTRATIVE EXPENDITURE","",""
"A4.02","INTERINSTITUTIONAL COOPERATION, INTERINSTITUTIONAL SERVICES AND ACTIVITIES","",""
"A4.03","INTERINSTITUTIONAL COOPERATION FOR TRAINING","",""
"A4.10","RESERVES","",""
"0A","V 4 0 - DEDUCTIONS FROM REMUNERATION","",""
"0A","V 4 1 - CONTRIBUTIONS TO THE PENSION SCHEME","",""
"0A","V 6 6 - OTHER CONTRIBUTIONS AND REFUNDS","",""
"A5.01","ADMINISTRATIVE EXPENDITURE","",""
"A5.10","RESERVES","",""
"0A","VI 4 0 - DEDUCTIONS FROM REMUNERATION","",""
"0A","VI 4 1 - CONTRIBUTIONS TO THE PENSION SCHEME","",""
"0A","VI 6 6 - OTHER CONTRIBUTIONS AND REFUNDS","",""
"A6.01","ADMINISTRATIVE EXPENDITURE","",""
"A6.10","RESERVES","",""
"0A","VII 4 0 - DEDUCTIONS FROM REMUNERATION","",""
"0A","VII 4 1 - CONTRIBUTIONS TO THE PENSION SCHEME","",""
"0A","VII 6 6 - OTHER CONTRIBUTIONS AND REFUNDS","",""
"A7.01","ADMINISTRATIVE EXPENDITURE","",""
"A7.10","RESERVES","",""
"04.00.00","Proceeds of the tax on the salaries, wages and allowances of officials, other servants and persons in receipt of a pension","","Staff Regulations of Officials of the European Communities.


Conditions of Employment of Other Servants of the European Communities.


Protocol on the privileges and immunities of the European Union, and in particular Article 12 thereof.


Regulation No 422/67/EEC, No 5/67/Euratom of the Council of 25 July 1967 determining the emoluments of the President and Members of the Commission and of the President, Judges, Advocates-General and Registrar of the Court of Justice, of the President, Members and Registrar of the Court of First Instance and of the President, Members and Registrar of the European Union Civil Service Tribunal (OJ 187, 8.8.1967, p. 1).


Council Regulation (EEC, Euratom, ECSC) No 260/68 of 29 February 1968 laying down the conditions and procedure for applying the tax for the benefit of the European Communities (OJ L 56, 4.3.1968, p. 8).


Council Regulation (ECSC, EEC, Euratom) No 1860/76 of 29 June 1976 laying down the Conditions of employment of staff of the European Foundation for the Improvement of Living and Working Conditions (OJ L 214, 6.8.1976, p. 24)."
"04.00.03","Proceeds of the temporary contribution from the salaries of officials and other servants in active employment","","Staff Regulations of Officials of the European Communities.


Regulation No 422/67/EEC, No 5/67/Euratom of the Council of 25 July 1967 determining the emoluments of the President and Members of the Commission, of the President, Judges, Advocates-General and Registrar of the Court of Justice, of the President, Members and Registrar of the Court of First Instance and of the President, Members and Registrar of the European Union Civil Service Tribunal (OJ 187, 8.8.1967, p. 1)."
"04.00.04","Proceeds from the special levy on the salaries of officials and other servants in active employment","","Staff Regulations of Officials of the European Communities.


Conditions of Employment of Other Servants of the European Communities.


Regulation No 422/67/EEC, No 5/67/Euratom of the Council of 25 July 1967 determining the emoluments of the President and Members of the Commission, and of the President, Judges, Advocates General and Registrar of the Court of Justice, of the President, Members and Registrar of the Court of First Instance and of the President, Members and Registrar of the European Union Civil Service Tribunal (OJ 187, 8.8.1967, p. 1)."
"04.01.00","Staff contributions to the pension scheme","","Staff Regulations of Officials of the European Communities.


Conditions of Employment of Other Servants of the European Communities.


Council Regulation (ECSC, EEC, Euratom) No 1860/76 of 29 June 1976 laying down the conditions of employment of staff of the European Foundation for the Improvement of Living and Working Conditions (OJ L 214, 6.8.1976, p. 24)."
"04.01.01","Transfer or purchase of pension rights by staff","","Staff Regulations of Officials of the European Communities."
"04.01.02","Contributions to the pension scheme by officials and temporary staff on leave on personal grounds","","Staff Regulations of Officials of the European Communities.


Conditions of Employment of Other Servants of the European Communities."
"04.02.00","Employer's contribution by decentralised agencies and international organisations to the pension scheme","","Staff Regulations of Officials of the European Communities.


Conditions of Employment of Other Servants of the European Communities."
"05.00.00","Proceeds from the sale of movable property (supply of goods)","",""
"05.00.01","Proceeds from the sale of immovable property","<p>This article is intended to record revenue from the sale of immovable property belonging to the institution.</p>

<a name=""AAADQ""></a>",""
"05.00.02","Proceeds from the sale of publications, printed works and films - Assigned revenue","<p>In accordance with Article 18(1)(j) of the Financial Regulation, this revenue is to be considered as assigned revenue and gives rise to the entry of additional appropriations on the lines which bore the initial expenditure giving rise to the corresponding revenue.</p>

<p>This article also contains revenue from the sale of such products on an electronic medium.</p>",""
"05.01.00","Proceeds from the hiring-out of furniture and equipment - Assigned revenue","<p>In accordance with Article 18(1)(e) of the Financial Regulation, this revenue is to be considered as assigned revenue and gives rise to the entry of additional appropriations on the lines which bore the initial expenditure giving rise to the corresponding revenue.</p>

<a name=""AAAEI""></a>",""
"05.01.01","Proceeds from letting and subletting immovable property and reimbursement of charges connected with lettings","<a name=""AAAEO""></a>",""
"05.02.00","Revenue from investments or loans granted, bank and other interest on the institution's accounts","<p>This revenue refers only to bank interest paid into the Commission's current accounts.</p>

<a name=""AAAFM""></a>",""
"05.02.01","Revenue from investments or loans granted, bank and other interest on the accounts of organisations receiving subsidies transferred to the Commission","<p>This article is intended to record revenue from investments or loans granted, bank and other interest on the accounts of organisations receiving subsidies transferred to the Commission.</p>

<a name=""AP20037947""></a>",""
"05.02.02","Interest yielded by pre-financing","<p>This article is intended to record revenue from the interest yielded by pre-financing.</p>

<p>In accordance with Article 5a of the Financial Regulation, the amounts booked to this article may be used to provide additional appropriations under the corresponding headings of the statement of expenditure in this section. Thus, interest generated by pre-financing payments shall be assigned to the programme or the action concerned and deducted from the payment of the balance of the amounts due to the beneficiary.</p>

<p>The Regulation laying down the rules for implementing the Financial Regulation also specifies the cases in which the authorising officer responsible shall, by way of exception, recover annually such interest.</p>","Council Regulation (EC, Euratom) No 1605/2002 of 25 June 2002 on the Financial Regulation applicable to the general budget of the European Communities (OJ L 248, 16.9.2002, p. 1), and in particular Article 5a thereof.


Commission Regulation (EC, Euratom) No 2342/2002 of 23 December 2002 laying down detailed rules for the implementation of Council Regulation (EC, Euratom) No 1605/2002 on the Financial Regulation applicable to the general budget of the European Communities (OJ L 357, 31.12.2002, p. 1), and in particular Articles 4 and 4a thereof."
"05.05.00","Proceeds from the supply of services and works for other institutions or bodies, including refunds by other institutions or bodies of mission allowances paid on their behalf - Assigned revenue","<p>In accordance with Article 18(1)(g) of the Financial Regulation, this revenue is to be considered as assigned revenue and gives rise to the entry of additional appropriations on the lines which bore the initial expenditure giving rise to the corresponding revenue.</p>

<a name=""40990934641-0""></a>",""
"05.05.01","Revenue from third parties in respect of services or work supplied at their request - Assigned revenue","<p>In accordance with Article 18(1)(e) of the Financial Regulation, this revenue is to be considered as assigned revenue and gives rise to the entry of additional appropriations on the lines which bore the initial expenditure giving rise to the corresponding revenue.</p>",""
"05.07.00","Revenue arising from the repayment of amounts wrongly paid - Assigned revenue","<p>In accordance with Article 18(1)(f) of the Financial Regulation, this revenue is to be considered as assigned revenue and gives rise to the entry of additional appropriations on the lines which bore the initial expenditure giving rise to the corresponding revenue.</p>

<a name=""40990934883-0""></a>",""
"05.07.01","Revenue earmarked for a specific purpose, such as income from foundations, subsidies, gifts and bequests, including the earmarked revenue specific to each institution - Assigned revenue","<p>In accordance with Article 18(1)(c) of the Financial Regulation, this revenue is to be considered as assigned revenue and gives rise to the entry of additional appropriations on the lines which bore the initial expenditure giving rise to the corresponding revenue.</p>

<a name=""50140934915-0""></a>",""
"05.07.02","Repayment of welfare expenditure incurred on behalf of another institution","<p>This article is intended to record revenue from the repayment of welfare expenditure incurred on behalf of another institution.</p>

<a name=""40990934897-2""></a>",""
"05.07.03","Other contributions and refunds in connection with the administrative operation of the institution - Assigned revenue","<p>In accordance with Article 18 of the Financial Regulation, this revenue is to be considered as assigned revenue and gives rise to the entry of additional appropriations on the lines which bore the initial expenditure giving rise to the corresponding revenue.</p>",""
"05.08.00","Revenue from payments connected with lettings - Assigned revenue","<p>In accordance with Article 18(1)(i) of the Financial Regulation, this revenue is to be considered as assigned revenue and gives rise to the entry of additional appropriations on the lines which bore the initial expenditure giving rise to the corresponding revenue.</p>

<a name=""40990935891-0""></a>",""
"05.08.01","Revenue from insurance payments received - Assigned revenue","<p>In accordance with Article 18(1)(h) of the Financial Regulation, this revenue is to be considered as assigned revenue and gives rise to the entry of additional appropriations on the lines which bore the initial expenditure giving rise to the corresponding revenue.</p>",""
"05.09.00","Other revenue from administrative operations","<p>This article is intended to record other revenue from administrative operations.</p>",""
"06.00.01","Miscellaneous research programmes","",""
"06.00.02","Other programmes","<a name=""40991037184-4""></a>",""
"06.00.03","Association agreements between the Communities and third countries","",""
"06.01.01","Repayment of expenditure incurred on behalf of one or more Member States","",""
"06.01.02","Repayment of expenditure incurred specifically as a result of work undertaken on request and against payment - Assigned revenue","<p>In accordance with Article 18 of the Financial Regulation, any revenue will be used to provide additional appropriations to finance the expenditure to which this revenue is assigned.</p>

<a name=""AAANO""></a>",""
"06.01.04","Repayment of Community/EU support to commercially successful projects and activities","<a name=""AAANU""></a>",""
"06.01.05","Repayment of unused Community/EU aid","<a name=""AAAOY""></a>",""
"06.01.06","Repayment of expenditure incurred on behalf of the International Atomic Energy Agency - Assigned revenue","<p>Repayment by the International Atomic Energy Agency (IAEA) of sums which were advanced by the Commission to pay for controls carried out by the IAEA under the verification agreements (see Articles 06 05 01 and 06 05 02 of the statement of expenditure in this section).</p>

<p>In accordance with Article 18 of the Financial Regulation, any revenue will be used to provide additional appropriations to finance the expenditure to which this revenue is assigned.</p>

<a name=""N88000""></a>",""
"06.01.07","Repayment of amounts paid in connection with Community/EU aid to non-member countries","<a name=""N89700""></a>",""
"06.01.08","Repayment of amounts paid in connection with food aid","",""
"06.01.09","Repayment of other expenditure incurred on behalf of outside bodies","",""
"06.02.00","Supply against payment of source materials or special fissile materials (Article 6(b) of the EAEC Treaty) - Assigned revenue","<p>Treaty establishing the European Atomic Energy Community, and in particular Article&#160;6(b) thereof.</p>

<p>Revenue from the supply to Member States against payment of source materials or special fissile materials for their research programmes.</p>

<p>In accordance with Article 18 of the Financial Regulation, any revenue will be used to provide additional appropriations to finance the expenditure to which this revenue is assigned.</p>

<a name=""AAASK""></a>",""
"06.02.02","Revenue from services provided by the Joint Research Centre to outside bodies against payment","<a name=""AAASQ""></a>",""
"06.02.04","Revenue from licences granted by the Commission on inventions resulting from Community/EU research, irrespective of whether they can be patented (indirect action) - Assigned revenue","<p>In accordance with Article 18 of the Financial Regulation, any revenue will be used to provide additional appropriations to finance the expenditure to which this revenue is assigned.</p>","Council Regulation (EEC) No 2380/74 of 17 September 1974 adopting provisions for the dissemination of information relating to research programmes for the European Economic Community (OJ L 255, 20.9.1974, p. 1).


Reference acts


Treaty establishing the European Atomic Energy Community, and in particular Article 12 thereof."
"06.03.00","Contributions by the European Free Trade Association Member States under the Cooperation Agreement on the European Economic Area - Assigned revenue","<p>This article is intended to record contributions from the European Free Trade Association Member States resulting from their financial participation in certain Union activities in accordance with Article 82 of and with Protocol 32 to the Agreement on the European Economic Area.</p>

<p>The total contribution planned is shown in the summary presented for information in an annex to the statement of expenditure in this section.</p>

<p>The contributions by the European Free Trade Association Member States will be made available to the Commission in accordance with Articles&#160;1 to 3 of Protocol&#160;32 to the Agreement.</p>

<p>In accordance with Article 18 of the Financial Regulation, any revenue will be used to provide additional appropriations to finance the expenditure to which this revenue is assigned.</p>

<p class=""bud-reference"">Reference acts</p>

<p>Agreement on the European Economic Area (OJ&#160;L&#160;1, 3.1.1994, p. 3).</p>

<a name=""40991037560-15""></a>",""
"06.03.01","Contributions in connection with the Schengen","<a name=""40991037596-17""></a>",""
"06.03.02","Contributions to common administrative support expenditure of the European Development Fund - Assigned revenue","<p>In accordance with Article 18 of the Financial Regulation, any revenue from the European Development Fund (EDF) contributing to the cost of support measures will be used to provide additional appropriations under Item 21 01 04 10 of the statement of expenditure in this section.</p>

<p class=""bud-reference"">Reference acts</p>

<p>Internal Agreement for the 9th EDF.</p>

<a name=""N71231245331-3""></a>",""
"06.03.03","Contributions to certain external aid programmes","<a name=""N71231245356-4""></a>",""
"06.05.00","Financial corrections","",""
"06.06.00","Other contributions and refunds","",""
"06.07.00","Revenue concerning EAGF","",""
"06.07.01","Revenue concerning EAFRD","",""
"06.08.00","Temporary restructuring amounts - Assigned revenue","",""
"07.00.00","Interest on late payments","",""
"07.00.01","Interest on late payments and other interest on fines","<p>This article is intended to record interest on late payments and other interest on fines.</p>","Council Regulation (EC, Euratom) No 1605/2002 of 25 June 2002 on the Financial Regulation applicable to the general budget of the European Communities (OJ L 248, 16.9.2002, p. 1), and in particular Article 71(4) thereof.


Council Regulation (EC) No 1/2003 of 16 December 2002 on the implementation of the rules on competition laid down in Articles 81 and 82 of the Treaty (OJ L 1, 4.1.2003, p. 1).


Commission Regulation (EC, Euratom) No 2342/2002 of 23 December 2002 laying down detailed rules for the implementation of Council Regulation (EC, Euratom) No 1605/2002 on the Financial Regulation applicable to the general budget of the European Communities (OJ L 357, 31.12.2002, p. 1), and in particular Article 86 thereof.


Council Regulation (EC) No 139/2004 of 20 January 2004 on the control of concentrations between undertakings (OJ L 24, 29.1.2004, p. 1), and in particular Articles 14 and 15 thereof."
"07.01.00","Fines, periodic penalty payments and other penalties","","Council Regulation (EC, Euratom) No 1605/2002 of 25 June 2002 on the Financial Regulation applicable to the general budget of the European Communities (OJ L 248, 16.9.2002, p. 1).


Council Regulation (EC) No 1/2003 of 16 December 2002 on the implementation of the rules on competition laid down in Articles 81 and 82 of the Treaty (OJ L 1, 4.1.2003, p. 1).


Commission Regulation (EC, Euratom) No 2342/2002 of 23 December 2002 laying down detailed rules for the implementation of Council Regulation (EC, Euratom) No 1605/2002 on the Financial Regulation applicable to the general budget of the European Communities (OJ L 357, 31.12.2002, p. 1).


Council Regulation (EC) No 139/2004 of 20 January 2004 on the control of concentrations between undertakings (the EC Merger Regulation) (OJ L 24, 29.1.2004, p. 1), and in particular Articles 14 and 15 thereof."
